127.0.0.1 - - [17/Jun/2017:11:04:33 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+B HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=blue HTTP/1.1" 200 1002
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=red HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=white HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/static/images/spinner.svg HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/static/src/public/public.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/static/src/public/home/landing.html HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/static/css/public.css HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/static/src/common/table-grid/dynamic-table.html HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:58 -0500] "GET /ZulfiCricket/static/images/lagan-2.jpg HTTP/1.1" 200 263939
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:14:49 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:14:49 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:18:25 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:23:50 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:23:57 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:28:55 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:29:08 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:30:28 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:30:29 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:32:42 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:32:42 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:33:18 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:33:19 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:33:48 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
